0~499 Day Event,,,,,,,,,,,,,,,,
500~999 Story,,,,,,,,,,,,,,,,
1000~1999 퀘스트보드,,,,,,,,,,,,,,,,
"2000~9999 NPC이벤트",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Type(Bubble:Quest),ID,keyName,index,optionString,mainText_KR,mainText_EN,mainText_JP,mainText_SCC,,,Title_KR,Title_EN,Title_JP,Title_SCC,,
,,,2,,그리곤 재앙이 시작되었다.,And then- the calamity began.,そして、災厄が始まった。,然后灾难开始了。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,723,Dragon_3,0,,나는 어느새 드래곤의 모습으로 변한 마왕의 위에 있었고- 아래에는 불바다가 된 마을이 보였다.,Suddenly- I found myself atop the Demon Lord- now transformed into a dragon- gazing down at the village below- engulfed in flames.,気がつけば、僕は竜の姿に変わった魔王の上にいた。下には火の海と化した村が見えた。,不知不觉间- 我已经在变成龙形态的魔王身上- 下面是变成火海的村庄。,,,,,,,,
,,,1,,그렇지만 별로 무섭지 않았다. 오히려 재밌다고나 할까. 이전처럼 외롭지도 않았다.,Yet- I felt no fear. Rather- it was exciting. I no longer felt lonely as before.,しかし、特に恐ろしくはなかった。むしろ、面白いとさえ言えるだろう。以前のような孤独感もなかった。,但并不觉得可怕。反而可以说很有趣。也不再像以前那样孤独了。,,,,,,,,
,,,2,,이후 주변 마을과 길드를 모두 태워버리곤- 새로운 마왕성을 세웠다.,Afterwards- we burned all the surrounding villages and guilds- and established a new demon castle.,その後、周辺の村とギルドを全て焼き尽くし、新たな魔王城を築いた。,之后- 烧毁了周围的村庄和公会- 建立了新的魔王城。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,724,Dragon_4,0,,이유는 모르겠지만 나는 마왕의 옆에 서 있다.,For reasons unknown- I stand beside the Demon Lord.,理由は分からないが、僕は魔王の傍らに立っている。,不知为何- 我站在魔王身边。,,,,,,,,
,,,1,,딱히 뭔가를 시키거나 바라는 것 같지는 않아서- 멋대로 일어나는 일들에 대한 기록을 적기 시작했다.,As they don't seem to demand or expect anything- I began recording the events unfolding at will.,特に何かを命じたり望んだりしている様子はないので、勝手に起こる出来事の記録を書き始めた。,他似乎并不特别要求或期望什么- 我就开始记录自己发生的事情。,,,,,,,,
,,,2,,지금 읽고 있는 바로 이 이야기가 역사의 마지막 기록이자- 동시에 내 최고의 모험담이 될 것이다.,This very story you're reading now will be the final record of history and my greatest adventure tale.,今あなたが読んでいるこの物語こそが、歴史の最後の記録であり、同時に僕の最高の冒険譚となるだろう。,现在你正在读的这个故事- 将成为历史的最后记录- 同时也是我最精彩的冒险故事。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,731,Ravi_1,0,,알이 빛나더니 신비로운 생명체가 깨어났다.,The egg gleamed and a mysterious being awakened.,卵が輝き- 神秘的な生命体が目覚めた。,蛋发出光芒- 一个神秘的生命体苏醒了。,,,,,,,,
,,,1,,직접적인 말은 하지 않았지만- 의도가 머릿속에 전해져 왔다.,Though no words were spoken- its intentions reached my mind.,直接の言葉はなかったが- その意図が心に伝わってきた。,虽然没有直接对话- 但它的意图传达到了我的脑海中。,,,,,,,,
,,,2,,나에게 수고했다고 하는 것 같다.,It seemed to be thanking me for my hard work.,私に労いの気持ちを伝えているようだった。,似乎在感谢我的辛勤付出。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,732,Ravi_2,0,,계약은 종료되었으며- 나는 계약 내용대로 던전의 소유권을 받아 정식으로 초보자 던전의 마스터가 되었다.,The contract was terminated- and as agreed- I received ownership of the dungeon- officially becoming the master of the Novice Dungeon.,契約は終了し- 約束通り私はダンジョンの所有権を受け- 正式に見習いダンジョンのマスターとなった。,契约终止了- 按照约定- 我获得了地下城的所有权- 正式成为新手地下城的主人。,,,,,,,,
,,,1,,나는 계속해서 던전을 관리할 수 있게 되었고- 앞으로는 내가 정말로 원했던 던전을 만들어 보기로 했다.,I could continue managing the dungeon- and decided to create the dungeon I had truly wanted.,私は引き続きダンジョンを管理することができ- これからは本当に望んでいたダンジョンを作ることにした。,我可以继续管理这个地下城- 并决定要创造一个我真正想要的地下城。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,733,Ravi_3,0,,이후 던전에도 변화가 생겼다.,The dungeon itself underwent changes.,その後- ダンジョンにも変化が訪れた。,地下城本身也发生了变化。,,,,,,,,
,,,1,,던전에서 태어난 생명체 덕분인지- 더 많은 마나와 자원이 나오기 시작했으며- 공간은 끝도 없이 확장되어 갔다.,Perhaps thanks to the being born within it- more mana and resources began emerging- and the space expanded endlessly.,ダンジョンで生まれた生命体のおかげか- より多くのマナと資源が湧き出すようになり- 空間は果てしなく広がっていった。,或许是因为在此诞生的生命体- 更多的魔力和资源开始涌现- 空间无止境地扩张。,,,,,,,,
,,,2,,덕분에 나는 수월하게 던전을 이상적인 형태로 변화시켜 나갔다.,Thanks to this- I was able to easily transform the dungeon into my ideal form.,おかげで私は容易にダンジョンを理想的な形に変えていくことができた。,多亏如此- 我得以轻松地将地下城改造成理想的形态。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,734,Ravi_4,0,,던전은 매우 유명해졌다.,The dungeon became highly renowned.,ダンジョンは非常に有名になった。,地下城变得非常有名。,,,,,,,,
,,,1,,점점 더 많은 모험가가 방문하였고- 가장 유명한 던전 목록에도 이름을 올리게 되었다.,More and more adventurers visited- and it earned its place among the most famous dungeons.,次第に多くの冒険者が訪れるようになり- 最も有名なダンジョンのリストにも名を連ねることとなった。,越来越多的冒险者前来造访- 它的名字也被列入最著名地下城的名单。,,,,,,,,
,,,2,,더 이상 이 초보자 던전을 정말로 초심자용 던전이라고 생각하는 사람은 아무도 없었다.,No one truly considered this Novice Dungeon a beginners' dungeon anymore.,もはやこの見習いダンジョンを本当の初心者用ダンジョンだと考える者は誰もいなかった。,如今已经没有人会把这个新手地下城真的当作初学者的地下城了。,,,,,,,,
,,,3,,그러나 여전히 [초보자 던전] 으로 불리고 있다.,Yet it is still called the [Novice Dungeon].,しかし- 依然として「見習いダンジョン」と呼ばれ続けている。,然而- 它仍然被称为[新手地下城]。,,,,,,,,
,,,4,,마치 이곳이 영원히 초보자 던전일 것처럼.,As if it would forever remain the Novice Dungeon.,まるでここが永遠に見習いダンジョンであり続けるかのように。,仿佛它永远都会是新手地下城一样。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,741,Cat_1,0,,알이 빛나더니 신비로운 생명체가 깨어났다.,The egg glowed- and a mysterious being awakened.,卵が輝き- 神秘的な生命体が目覚めた。,蛋发出光芒- 一个神秘的生命体苏醒了。,,,,,,,,
,,,1,,나에게 축하와 감사를 하며- 던전은 이제 내 것이라고 했다.,It congratulated and thanked me- saying the dungeon was now mine.,祝福と感謝を述べ- もうダンジョンは僕のものだと言った。,它向我表示祝贺和感谢- 说地下城现在是我的了。,,,,,,,,
,,,2,,내가 계약 조건을 지켰었나? 생각해 보았지만- 중요하지 않은 문제니까 넘어가자.,I wondered if I had fulfilled the contract conditions- but let's move on- it's not important now.,契約条件を守れたのかと考えたが- それはもう重要ではない問題だ。,我想了想是否履行了契约条件- 但这已经不重要了- 让我们继续吧。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,742,Cat_2,0,,던전은 계속해서 관리 중이다.,I'm still managing the dungeon.,ダンジョンの管理は続いている。,我仍在管理着地下城。,,,,,,,,
,,,1,,사실 이제는 지켜야 할 것이 없기 때문에 그렇게 재밌지는 않다.,To be honest- it's not that fun anymore- since there's nothing left to protect.,正直- もう守るべきものがないので- そこまで面白くはない。,说实话- 现在已经没什么意思了- 因为已经没有什么需要保护的了。,,,,,,,,
,,,2,,슬슬 이런 짓도 그만둬야 하나? 싶을 때 누군가 찾아왔다.,Just as I was thinking about quitting- someone showed up.,そろそろやめようかと思っていた時- 誰かが訪ねてきた。,就在我想要放弃的时候- 有人来了。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,743,Cat_3,0,,바로 초록 머리 모험가가 애타게 찾던 동생 모험가였다.,It was the adventurer sibling that the green-haired adventurer had been desperately searching for.,緑髪の冒険者が必死に探していた弟妹の冒険者だった。,原来是那个绿发冒险者一直苦苦寻找的弟弟冒险者。,,,,,,,,
,,,1,,도대체 어디 있다가 나타난 거냐고 물으니 그냥 멀리 모험하러 갔다가- 그곳이 좋아서 쉬다 왔다고 한다.,When asked where they'd been- they said they just went on a distant adventure- liked the place- and stayed there for a while.,どこにいたのかと尋ねると- 遠くに冒険に行って- そこが気に入って休んでいただけだという。,当问到他到底去哪里了- 他说只是去远方冒险- 因为喜欢那个地方就在那里休息了一阵子。,,,,,,,,
,,,2,,그녀는 어이없어했지만- 그래도 동생을 찾았다는 안도감이 더 큰 것 같았다.,She seemed dumbfounded- but the relief of finding her sibling seemed greater.,彼女は呆れていたが- それでも弟妹を見つけた安堵感の方が大きいようだった。,虽然她对弟弟的解释感到哭笑不得- 但找到弟弟的安心感似乎更胜一筹。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,744,Cat_4,0,,나는 알에서 깨어난 생명체에게 물었다.,I asked the being that hatched from the egg.,卵から目覚めた生命体に尋ねた。,我问从蛋里孵化出来的生命体。,,,,,,,,
,,,1,,혹시 이 던전의 마스터를 넘겨줄 수 있느냐고. 그 생명체는 그렇다고 답했다.,If it was possible to hand over the dungeon master role. The being said yes.,このダンジョンのマスターを譲ることができるかと。生命体はそうだと答えた。,能否将地下城主的角色交出去。那个生命体说可以。,,,,,,,,
,,,2,,동생에게도 원하냐고 물었더니- 동생은 매우 반짝반짝한 눈으로 그렇다고 답했다.,When I asked the sibling if they wanted it- they answered with sparkling eyes.,弟妹に望むかと尋ねると- 弟妹はキラキラした目でそうだと答えた。,当我问那个兄弟是否想要时- 他们用闪闪发光的眼睛回答是的。,,,,,,,,
,,,3,,나 또한 슬슬 무료하던 참이었으니- 딱 좋은 타이밍이라 생각했다.,I was getting bored anyway- so the timing was perfect.,僕もそろそろ退屈していたので- ちょうど良いタイミングだと思った。,反正我也开始感到无聊了- 所以时机刚刚好。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,745,Cat_5,0,,나의 원래 꿈은 모험가였으니까.,My original dream was to be an adventurer- after all.,元々の夢は冒険者だったから。,毕竟- 我原本的梦想是成为冒险者。,,,,,,,,
,,,1,,그렇게 한동안 짐을 정리하고- 정든 던전을 뒤로하고 가려는 순간- 자연스럽게 짐을 챙겨 따라오는 사람이 있었다.,As I was about to leave the familiar dungeon after packing- someone naturally packed up and followed.,しばらく荷物をまとめ- 慣れ親しんだダンジョンを後にしようとした瞬間- 自然に荷物をまとめてついてくる人がいた。,当我收拾行李准备离开熟悉的地下城时- 有人自然而然地收拾好行李跟了上来。,,,,,,,,
,,,2,,바로 그녀였다.,It was her.,彼女だった。,是她。,,,,,,,,
,,,3,,“믿을 수 있는 동료- 필요하다며?”,You said you needed a reliable companion- right?,「信頼できる仲間が必要だって言ってたでしょ？」,你说过需要可靠的同伴- 对吧？,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,746,Cat_6,0,,이후에는 정신없었다. 아니- 사실대로 말하자면 정말 즐거웠다.,After that- it was hectic. No- to be honest- it was really fun.,その後は目まぐるしかった。いや- 正直に言えば本当に楽しかった。,之后的日子忙碌不堪。不- 老实说- 真的很有趣。,,,,,,,,
,,,1,,그녀는 예전처럼 차갑지 않았고- 오히려 정말 다정했다.,She wasn't as cold as before- rather- she was truly kind.,彼女は昔のように冷たくなく- むしろ本当に優しかった。,她不像以前那样冷淡了- 反而变得真的很温柔。,,,,,,,,
,,,2,,둘이 다니는 모험은 정말 재밌었고- 항상 함께라서 든든했다.,Adventuring together was really enjoyable- and it was reassuring to always be together.,二人で回る冒険は本当に面白く- いつも一緒にいるので心強かった。,两个人一起冒险真的很有意思- 总是在一起也让人感到安心。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,747,Cat_7,0,,나는 문득- 그녀의 이름을 모른다는 생각에 그녀에게 물었다.,Suddenly- I realized I didn't know her name- so I asked.,ふと- 彼女の名前を知らないことに気づいて尋ねた。,突然- 我意识到我不知道她的名字- 于是问道。,,,,,,,,
,,,1,,“그러고 보니 이름이 뭐야?”,Come to think of it- what's your name?,「そういえば- 名前は？」,话说回来- 你叫什么名字？,,,,,,,,
,,,2,,“그걸 이제 와서 묻는거야? 이 바보야!”,You're asking that now? You idiot!,「今さら聞くの？ このバカ！」,现在才问？你这个笨蛋！,,,,,,,,
,,,3,,“그러게. 미안미안.”,You're right. Sorry- sorry.,「そうだね。ごめんごめん。」,你说得对。对不起- 对不起。,,,,,,,,
,,,4,,이제서야 알게 된 그녀의 이름은…,The name I finally learned was...,やっと知ることができた彼女の名前は…,我终于知道的她的名字是...,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,748,Cat_8,0,,[레나],[Rena],「レナ」,[雷娜],,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,751,Demon_1,0,,알에서 깨어난 것은- 악마의 뿔을 가진 몬스터였다.,What emerged from the egg was a monster with demon horns.,卵から目覚めたのは- 悪魔の角を持つモンスターだった。,从蛋中醒来的- 是一个长着恶魔之角的怪物。,,,,,,,,
,,,1,,나는 순간 긴장했지만- 나에게 적대감을 드러내지는 않았다.,I tensed for a moment- but it showed no hostility towards me.,私は一瞬緊張したが- それは私に敵意を見せなかった。,我一瞬间紧张起来- 但它并没有对我显示敌意。,,,,,,,,
,,,2,,오히려 내가 무언가 말하기를 가만히 기다리는 것 같았다.,Rather- it seemed to be quietly waiting for me to say something.,むしろ- 私が何か言うのをじっと待っているようだった。,相反- 它似乎在静静地等待我说些什么。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,752,Demon_2,0,,그 순간- 던전의 모든 마나가 던전에 설치된 5개의 악마의 상을 거쳐 내게로 들어왔다.,At that moment- all the dungeon's mana flowed into me through the five demon statues installed in the dungeon.,その瞬間- ダンジョンの全てのマナが5つの悪魔の像を通して私の中に流れ込んできた。,就在那一刻- 地下城的所有魔力通过安装在地下城中的五座恶魔雕像流入了我的体内。,,,,,,,,
,,,1,,어마어마한 마나가 나를 둘러싸곤- 나의 모습을 변화시키기 시작했다.,The immense mana surrounded me and began transforming my form.,途方もないマナが私を包み込み- 私の姿を変え始めた。,庞大的魔力环绕着我- 开始改变我的形态。,,,,,,,,
,,,2,,어떻게 된 일인지 모르겠지만- 결과가 어떻게 될지는 왠지 알 것 같았다.,Though I didn't understand what was happening- somehow I knew what the outcome would be.,何が起きているのか分からなかったが- 結果がどうなるかは何となく分かっていた。,虽然不知道发生了什么- 但我似乎知道结果会如何。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,753,Demon_3,0,,나는 그 마나를 받아들였다.,I accepted the mana.,私はそのマナを受け入れた。,我接受了这股魔力。,,,,,,,,
,,,1,,사실- 용사가 던전에 찾아왔을 때부터 직감했던 일이다.,In truth- I had sensed this since the hero visited the dungeon.,実は- 勇者がダンジョンを訪れた時から直感していたことだ。,其实- 从勇者造访地下城时起- 我就有所预感。,,,,,,,,
,,,2,,그렇지만 이건 내가 선택한 길.,But this was the path I chose.,しかし- これは私が選んだ道。,但这是我选择的道路。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,754,Demon_4,0,,나는 현시대의 마왕이 되었다.,I became the Demon Lord of this era.,私は現代の魔王となった。,我成为了当代的魔王。,,,,,,,,
,,,1,,그러나 무분별한 학살은 하지 않는다.,However- I do not engage in indiscriminate slaughter.,だが- 無差別な殺戮はしない。,然而- 我不会进行无差别的杀戮。,,,,,,,,
,,,2,,던전을 마왕성으로 적당히 정비하고 난 뒤- 무엇을 할지 곰곰이 생각 중이다.,After moderately renovating the dungeon into a demon castle- I'm contemplating what to do next.,ダンジョンを魔王城として程よく整備した後- 次に何をするか熟考中だ。,在将地下城适当地改造成魔王城之后- 我正在思考接下来要做什么。,,,,,,,,
,,,3,,그렇지만 무엇을 하든지 분명 흥미롭고 신선한 경험일 것 같아서 몹시 기대된다.,Yet whatever I choose- I'm terribly excited as it's sure to be an interesting and fresh experience.,けれども何をするにしても- きっと興味深く新鮮な経験になるはずで- とても楽しみだ。,不过无论做什么- 想必都会是有趣而新鲜的体验- 让我非常期待。,,,,,,,,
,,,4,,이것이- 이번 생의 나의 모험이다.,This is my adventure in this life.,これが- 今生の私の冒険だ。,这就是我今生的冒险。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,761,Hero_1,0,,알에서 깨어난 것은- 흰 날개를 가진 빛이 나는 생명체였다.,What awakened from the egg was a luminous being with white wings.,卵から目覚めたのは- 白い翼を持つ光る生命体だった。,从蛋中醒来的- 是一个长着白色翅膀的发光生命体。,,,,,,,,
,,,1,,동시에 던전 전체가 밝게 빛나며- 따뜻한 마나가 퍼지기 시작했다.,The entire dungeon began to glow brightly- with warm mana spreading throughout.,ダンジョン全体が明るく輝き- 温かなマナが広がり始めた。,整个地下城开始明亮地闪耀- 温暖的魔力开始蔓延。,,,,,,,,
,,,2,,그 생명체는 대뜸 나에게 터무니없는 말을 꺼냈다.,The being abruptly spoke something preposterous to me.,その生命体は突然- 途方もない言葉を私に投げかけた。,那个生命体突然对我说出了一个难以置信的事实。,,,,,,,,
,,,3,,내가 새로운 용사로 선택됐다고.,That I had been chosen as the new hero.,私が新しい勇者に選ばれたのだと。,说我被选为新的勇者。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,762,Hero_2,0,,나는 말도 안 되는 소리라고 생각했지만- 실제로 무언가 변화하기 시작했다.,I thought it was nonsense- but something actually began to change.,私はありえない話だと思ったが- 実際に何かが変化し始めた。,我觉得这太荒谬了- 但某些变化确实开始发生。,,,,,,,,
,,,1,,내 몸에 힘이 넘쳐흐르기 시작했으며- 어느샌가 손에는 용사의 검이 쥐어져 있었다.,Power began overflowing through my body- and somehow a hero's sword appeared in my hand.,体に力が溢れ出し始め- いつの間にか手には勇者の剣が握られていた。,力量开始在我体内涌动- 不知何时- 勇者之剑已握在我手中。,,,,,,,,
,,,2,,나는 앞으로 뭘 하면 되느냐고 물었다.,I asked what I should do from now on.,私はこれからどうすればいいのかと尋ねた。,我问接下来该做什么。,,,,,,,,
,,,3,,그러자 모든 건 내 자유라고 했다.,They said everything was up to me.,すると全ては私の自由だと言われた。,它说一切都由我自由决定。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,763,Hero_3,0,,세계를 위해 악한 존재들을 물리쳐도 되고- 혹은 아무것도 하지 않아도 된다고 한다.,I could defeat evil beings for the world's sake- or do nothing at all.,世界のために邪悪な存在を退治してもいいし- 何もしなくてもいいのだと。,可以为了世界打倒邪恶的存在- 也可以什么都不做。,,,,,,,,
,,,1,,나는 어떻게 할지 한참을 고민했지만- 결국엔 지금처럼 던전에 있기로 했다.,I pondered long about what to do- but ultimately decided to stay in the dungeon as before.,私はどうするべきか長い間考えたが- 結局は今のようにダンジョンにいることを選んだ。,我苦思良久该怎么做- 最终还是决定像现在这样留在地下城。,,,,,,,,
,,,2,,그렇지만 그땐 몰랐다.,But I didn't know then.,しかしその時は知らなかった。,但那时的我并不知道。,,,,,,,,
,,,3,,용사라는 건- 존재만으로도 악한 것들을 끌어당기는 효과가 있다는 것을.,That being a hero had the effect of attracting evil just by existing.,勇者という存在は- それだけで邪悪なものを引き寄せる効果があることを。,成为勇者这件事- 单是存在就能吸引邪恶之物。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,764,Hero_4,0,,던전에는 이전과 달리 수많은 것들이 찾아오기 시작했다.,Unlike before- countless beings began visiting the dungeon.,ダンジョンには以前と違い- 数多くのものが訪れ始めた。,与之前不同- 无数存在开始造访地下城。,,,,,,,,
,,,1,,모험가를 포함해서 인간과 몬스터- 그리고 그 이외의 존재들까지.,Adventurers- humans and monsters- and beings beyond.,冒険者を含む人間とモンスター- そしてそれ以外の存在まで。,包括冒险者在内的人类与怪物- 以及其他种种存在。,,,,,,,,
,,,2,,나중에 알게 된 사실이지만- 개중에는 마왕이 될 뻔한 존재들까지 있었다고 한다.,I later learned that among them were even beings who nearly became Demon Lords.,後になって分かったことだが- 中には魔王になりかけた存在まで含まれていたという。,后来我才知道- 其中甚至包括几个差点成为魔王的存在。,,,,,,,,
,,,3,,나는 나도 모르는 사이 충실히 용사 역할을 수행하고 있던 것이다.,Without realizing it- I had been faithfully fulfilling the role of a hero.,私は知らぬ間に- 忠実に勇者の役割を果たしていたのだ。,不知不觉中- 我一直在忠实地履行着勇者的职责。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,765,Hero_5,0,,지금 나는 현시대의 용사이자- 여전히 초보자 던전의 마스터이다.,Now I am both the hero of this era and still the master of the Novice Dungeon.,今の私は- この時代の勇者であり- 依然として見習いダンジョンのマスターだ。,现在的我既是这个时代的勇者- 也依然是新手地下城的主人。,,,,,,,,
,,,1,,누군가 모험과 보물을 원한다면- 그리고 새로운 이야기를 원한다면- 당장 던전으로 출발하라.,If anyone seeks adventure and treasure- and desires new stories- head to the dungeon right away.,誰かが冒険と宝物を求め- そして新しい物語を望むなら- 今すぐダンジョンへ向かえ。,如果有人寻求冒险与宝藏- 渴望新的故事- 就立即动身前往地下城吧。,,,,,,,,
,,,2,,던전엔 그 모든 것이 있으니까.,For the dungeon has all of these things.,ダンジョンにはそれら全てが存在するのだから。,因为地下城拥有这一切。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,766,Hero_6,0,,그래- 바로 이 [초보자 던전]처럼.,Yes- just like this [Novice Dungeon].,そう- まさにこの「見習いダンジョン」のように。,"是的- 就像这个""新手地下城""一样。",,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,990,Expansion_4,0, @Camera::Player::Camera@Skip::2::Skip@Fade::0::Fade,!!,!!,！！,!!,,,,,,,,
,,,1, @Action::Entrance_Move_2to4::Action@Skip::10::Skip,,,,,,,,,,,,
,,,2,@Camera::Player::Camera,이 공간으로 통하는 전이진의 위치가 바뀐 건가?,Has the location of the teleportation circle leading to this space changed?,この空間につながる転移門の位置が変わったのか？,通往这个空间的传送阵位置变了吗？,,,,,,,,
,,,3,,아무래도 던전이 확장되어서 그런 것 같은데…,I guess it's because the dungeon expanded...,どうやらダンジョンが拡張されたせいのようだ…,看来是因为地下城扩张了…,,,,,,,,
,,,4,,그렇다면 이건 꽤 좋은 소식이야.,If so- this is quite good news.,だとしたら、これはかなり良いニュースだ。,如果是这样- 那就是个好消息。,,,,,,,,
,,,5,,계속해서 던전을 확장해 나가면 \이 공간을 들킬 위험 또한 줄어들 테니까.,As we continue to expand the dungeon-\the risk of this space being discovered will also decrease.,ダンジョンを拡張し続ければ、\この空間が見つかるリスクも減るだろうからな。,继续扩张地下城- \被发现这个空间的风险也会降低。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,1000,Quest_0,0, @Target::Player::Target@Pos::Down::Pos,지금은 정보를 얻을만한 퀘스트가 없네.,There are no quests available for gathering information right now.,今は情報を得られそうなクエストがないな。,现在没有能获得信息的任务。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,1001,Quest_1,0, @Target::Player::Target @Pos::Down::Pos@Option::1000::Option,무언가 우리 던전에 대한 퀘스트가 있는 것 같아.,It seems there might be a quest about our dungeon.,何か我々のダンジョンについてのクエストがあるようだ。,好像有关于我们地下城的任务。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,1010,Quest_10,0, @Target::Player::Target @Pos::Down::Pos,여기서 퀘스트를 확인할 수 있었지.,I could check quests here.,ここでクエストを確認できたんだ。,在这里可以确认任务。,,,,,,,,
,,,1,,지금은 모험가로서 퀘스트는 의미가 없어.,As a dungeon master- adventurer quests are meaningless now.,今は冒険者としてのクエストに意味はないけどね。,现在作为冒险者- 任务已经没有意义了。,,,,,,,,
,,,2,,하지만 우리던전에 대한 퀘스트가\등록돼있다면 알아둬서 나쁠 건 없겠지.,But if there are quests registered about our dungeon-\it wouldn't hurt to know.,でも、我々のダンジョンに関するクエストが\登録されているなら、知っておいて損はないだろう。,但如果有关于我们地下城的任务被登记-\了解一下也无妨。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Quest,1100,Quest_100,0,@Action::1100::Action,※긴급 토벌 퀘스트\\목표 대상 : 초보자 던전의 변이 슬라임,※Emergency Subjugation Quest\\Target : Mutated Slime in the Novice Dungeon,※緊急討伐クエスト\\目標対象：初心者ダンジョンの変異スライム,※紧急讨伐任务\\目标 : 新手地下城的变异史莱姆,,,초보자 던전의 슬라임,Slime of the Novice Dungeon,初心者ダンジョンのスライム,新手地下城的史莱姆,,
,,,1,,초보자 던전에 비정상적으로 강한 슬라임 개체가 등장했다는 소문이 돌고 있습니다.,Rumors are circulating about the appearance of abnormally strong slimes in the Novice Dungeon.,初心者ダンジョンに異常に強いスライムの個体が出現したという噂が広まっています。,有传言说新手地下城出现了异常强大的史莱姆个体。,,,,,,,,
,,,2,,처음에는 가벼운 소문이라 생각하여 무시했으나- 실제 피해사례가 보고되고 있어 급하게 긴급 토벌 퀘스트를 발령합니다.,At first- we ignored it as a light rumor- but as actual damage reports are coming in- we are urgently issuing an emergency subjugation quest.,初めは軽い噂だと思って無視していましたが、実際の被害事例が報告されているため、急遽緊急討伐クエストを発令します。,起初认为只是轻微的传言而忽视了- 但现在实际的受害案例已经被报告- 因此紧急发布讨伐任务。,,,,,,,,
,,,3,,장소 : 초보자던전\특이사항 : 평범한 슬라임의 생김새이지만 비정상적으로 강하다고 함.\주의 필요.,Location : Novice Dungeon\Special Note : Looks like a normal slime but is abnormally strong.\Caution needed.,場所：初心者ダンジョン\特記事項：普通のスライムの姿をしているが、異常に強いとのこと。\注意が必要。,地点 : 新手地下城\特殊情况 : 外表看起来是普通的史莱姆- 但异常强大。\需要注意。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
